Date,Close/Last,Volume,Open,High,Low
12/30/2020,118.10,2762258,118.09,118.12,117.9815
12/29/2020,118.03,4295691,118.06,118.06,117.92
12/28/2020,118.01,4567222,117.97,118.045,117.833
12/24/2020,117.99,2214487,117.94,118.046,117.925
12/23/2020,117.88,4157735,117.81,117.88,117.63
12/22/2020,117.96,4516554,117.88,117.98,117.825
12/21/2020,117.79,4818305,117.92,117.96,117.75
12/18/2020,117.79,3874807,117.97,117.97,117.76
12/17/2020,117.85,6610627,118.01,118.06,117.7299
12/16/2020,117.98,4467913,117.83,118.033,117.761
12/15/2020,118.03,4217872,117.95,118.03,117.90
12/14/2020,117.96,4705572,117.86,118.025,117.7969
12/11/2020,118.03,5636060,118.01,118.09,117.95
12/10/2020,117.90,6192273,117.74,117.93,117.69
12/09/2020,117.61,6975697,117.73,117.78,117.5172
12/08/2020,117.78,6807000,117.88,117.9597,117.75
12/07/2020,117.77,6127835,117.76,117.8262,117.69
12/04/2020,117.59,5896088,117.90,117.90,117.5133
12/03/2020,117.91,5198437,117.92,117.98,117.765
12/02/2020,117.71,6120981,117.81,117.81,117.54
12/01/2020,117.84,5190827,118.03,118.10,117.73
11/30/2020,118.42,8688562,118.32,118.45,118.25
11/27/2020,118.26,3436221,118.25,118.285,118.22
11/25/2020,118.06,4125185,118.15,118.21,118.02
11/24/2020,118.10,4696878,118.24,118.28,118.07
11/23/2020,118.26,4739119,118.28,118.30,118.1734
11/20/2020,118.29,7217433,118.19,118.34,118.13
11/19/2020,118.17,6680775,118.08,118.26,118.03
11/18/2020,117.95,6191072,117.95,117.99,117.89
11/17/2020,117.87,4650191,117.75,117.90,117.75
11/16/2020,117.63,7951487,117.61,117.67,117.58
11/13/2020,117.64,5126806,117.52,117.69,117.52
11/12/2020,117.62,7740846,117.37,117.63,117.33
11/11/2020,117.13,3044345,117.06,117.18,117.02
11/10/2020,117.06,5146371,117.05,117.23,117.03
11/09/2020,117.25,6625285,117.40,117.47,117.06
11/06/2020,117.80,5514452,117.81,117.86,117.6699
11/05/2020,118.06,5293955,118.09,118.12,117.91
11/04/2020,117.95,5308746,117.90,118.04,117.83
11/03/2020,117.17,6693534,117.22,117.22,117.05
11/02/2020,117.22,6667902,117.27,117.35,117.18
10/30/2020,117.20,10610000,117.45,117.52,117.20
10/29/2020,117.52,11775810,117.76,117.77,117.40
10/28/2020,117.73,7329242,117.81,117.955,117.72
10/27/2020,117.90,5694085,117.80,117.91,117.7275
10/26/2020,117.63,4962531,117.65,117.72,117.59
10/23/2020,117.47,3878745,117.30,117.52,117.30
10/22/2020,117.30,4801011,117.51,117.54,117.30
10/21/2020,117.51,3688494,117.59,117.64,117.48
10/20/2020,117.65,4013620,117.70,117.71,117.58
10/19/2020,117.75,4685033,117.81,117.87,117.72
10/16/2020,117.89,3933279,117.99,118.0778,117.88
10/15/2020,117.95,5459197,118.15,118.15,117.95
10/14/2020,118.05,4919727,118.10,118.11,117.985
